id,doi,title,year,venue,publisher,publisher_url,source_url,document_type,relevance_score,relevance_terms_json,relevance_reason,doi_url,is_oa,pdf_url,access_status
7,10.1049/pbce138e_ch1,Introduction to permanent magnet robot actuators,2025,Control of Permanent Magnet Actuators for Robotics Applications,The Institution of Engineering and Technology,https://doi.org/10.1049/pbce138e_ch1,https://doi.org/10.1049/pbce138e_ch1,book-chapter,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1049/pbce138e_ch1,,,closed_access_has_doi
10,10.1049/pbce138e_ch4,Non-position control approaches for permanent magnet actuators,2025,Control of Permanent Magnet Actuators for Robotics Applications,The Institution of Engineering and Technology,https://doi.org/10.1049/pbce138e_ch4,https://doi.org/10.1049/pbce138e_ch4,book-chapter,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1049/pbce138e_ch4,,,closed_access_has_doi
50,10.1109/epdc67173.2025.11278373,Optimization of Wind Permanent Magnet Generator for Maximum Wind Energy Extraction Based on Genetic Algorithm,2025,2025 29th International Electrical Power Distribution Conference (EPDC),IEEE,https://doi.org/10.1109/epdc67173.2025.11278373,https://doi.org/10.1109/epdc67173.2025.11278373,proceedings-article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1109/epdc67173.2025.11278373,,http://xplorestaging.ieee.org/ielx8/11278241/11278244/11278373.pdf?arnumber=11278373,closed_access_has_doi
8,10.1002/9781394280452.fmatter,Parameter Estimation of Permanent Magnet Synchronous Machines,2025,Parameter Estimation of Permanent Magnet Synchronous Machines,Wiley,https://doi.org/10.1002/9781394280452.fmatter,https://doi.org/10.1002/9781394280452.fmatter,other,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1002/9781394280452.fmatter,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781394280452.fmatter,closed_access_has_doi
38,10.1007/s12598-024-02778-7,2:17‐type SmCo permanent magnets with controllable remanence temperature coefficients via substitution of heavy rare earth elements,2024,Rare Metals,Springer Science+Business Media,https://doi.org/10.1007/s12598-024-02778-7,https://openalex.org/W4399296436,article,0.8500000000000001,"[""permanent magnet"", ""smco"", ""remanence""]","Matched permanent magnet terms: permanent magnet, smco, remanence",https://doi.org/10.1007/s12598-024-02778-7,0,,closed_access_has_doi
56,10.3390/cryst14070624,Coercivity of (Fe<sub>0.7</sub>Co<sub>0.3</sub>)<sub>2</sub>B Nanowire and Its Bonded Magnet,2024,Crystals,MDPI AG,https://www.mdpi.com/2073-4352/14/7/624,https://www.mdpi.com/2073-4352/14/7/624,journal-article,1.0,"[""permanent magnet"", ""coercivity"", ""remanence"", ""energy product"", ""magnetocrystalline anisotropy""]","Matched permanent magnet terms: permanent magnet, coercivity, remanence, energy product, magnetocrystalline anisotropy",https://doi.org/10.3390/cryst14070624,1,https://www.mdpi.com/2073-4352/14/7/624/pdf,download_failed
41,10.1063/5.0177441,Compact remanence-free permanent magnet-based variable magnetic field source,2024,Review of Scientific Instruments,AIP Publishing,https://doi.org/10.1063/5.0177441,https://doi.org/10.1063/5.0177441,journal-article,0.65,"[""permanent magnet"", ""remanence""]","Matched permanent magnet terms: permanent magnet, remanence",https://doi.org/10.1063/5.0177441,,https://pubs.aip.org/aip/rsi/article-pdf/doi/10.1063/5.0177441/19704929/035101_1_5.0177441.pdf,closed_access_has_doi
40,10.15199/48.2024.01.43,Dynamic parameters of the ignition coil at various permanent  magnet remanence values,2024,PRZEGLĄD ELEKTROTECHNICZNY,"Wydawnictwo SIGMA-NOT, sp. z.o.o.",https://doi.org/10.15199/48.2024.01.43,https://doi.org/10.15199/48.2024.01.43,journal-article,0.45,"[""remanence""]",Matched permanent magnet terms: remanence,https://doi.org/10.15199/48.2024.01.43,0,,closed_access_has_doi
29,10.1016/j.rinp.2024.107976,Exploring the effect of exchange coupling in (SrFe9.8Al2La0.2O19)1-x/(Co0.7Zn0.3Fe2O4)x nanocomposites synthesised by sol–gel auto combustion method,2024,Results in Physics,Elsevier,http://www.sciencedirect.com/science/article/pii/S2211379724006612,http://www.sciencedirect.com/science/article/pii/S2211379724006612,journal-article,1.0,"[""permanent magnet"", ""coercivity"", ""remanence"", ""energy product""]","Matched permanent magnet terms: permanent magnet, coercivity, remanence, energy product",https://doi.org/10.1016/j.rinp.2024.107976,1,,oa_no_pdf_url
22,10.1109/access.2024.3389699,Reducing Torque Ripple Through Innovative Configuration of Permanent Magnet Based on Air Gap Field Modulation Theory in a Novel Axial Flux Reversal Permanent Magnet Machine,2024,IEEE Access,IEEE,https://ieeexplore.ieee.org/document/10500839/,https://ieeexplore.ieee.org/document/10500839/,journal-article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1109/access.2024.3389699,1,,oa_no_pdf_url
18,10.2139/ssrn.4999662,Understanding High Coercivity in Thmn12-Type Sm–Zr–Fe–Co–Ti Permanent Magnet Powders Through Nanoscale Analysis,2024,,Elsevier BV,https://doi.org/10.2139/ssrn.4999662,https://doi.org/10.2139/ssrn.4999662,posted-content,0.65,"[""permanent magnet"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, coercivity",https://doi.org/10.2139/ssrn.4999662,,,closed_access_has_doi
2,10.1109/tia.2023.3258933,A Review of Axial Flux Permanent Magnet Machine Technology,2023,IEEE Transactions on Industry Applications,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/tia.2023.3258933,https://openalex.org/W4328007168,review,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1109/tia.2023.3258933,1,https://www.osti.gov/servlets/purl/1962293,downloaded_oa_pdf
36,10.1016/j.jmmm.2023.170429,Computationally-efficient optimization of the remanence angles of permanent magnet circuits for magnetic refrigeration,2023,Journal of Magnetism and Magnetic Materials,Elsevier BV,https://doi.org/10.1016/j.jmmm.2023.170429,https://openalex.org/W4317801960,article,0.65,"[""permanent magnet"", ""remanence""]","Matched permanent magnet terms: permanent magnet, remanence",https://doi.org/10.1016/j.jmmm.2023.170429,1,,oa_no_pdf_url
55,10.1016/j.jmrt.2023.11.197,Effects of Mo doping on the phase transformation behaviors and the magnetic properties of rare-earth-free MnBi alloy,2023,Journal of Materials Research and Technology,Elsevier,http://www.sciencedirect.com/science/article/pii/S2238785423029708,http://www.sciencedirect.com/science/article/pii/S2238785423029708,journal-article,0.8500000000000001,"[""permanent magnet"", ""coercivity"", ""energy product""]","Matched permanent magnet terms: permanent magnet, coercivity, energy product",https://doi.org/10.1016/j.jmrt.2023.11.197,1,,oa_no_pdf_url
6,10.2172/2007025,Permanent Magnet E-beam/X-ray Horn,2023,Permanent Magnet E-beam/X-ray Horn,US DOE,https://doi.org/10.2172/2007025,https://doi.org/10.2172/2007025,proceedings-article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.2172/2007025,,,closed_access_has_doi
37,10.3390/fractalfract7050393,Relationship between Remanence and Micromorphology of Nd-Fe-B Permanent Magnets Revealed by Fractal Theory and EBSD Data,2023,Fractal and Fractional,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/fractalfract7050393,https://openalex.org/W4382299762,article,0.65,"[""permanent magnet"", ""remanence""]","Matched permanent magnet terms: permanent magnet, remanence",https://doi.org/10.3390/fractalfract7050393,1,https://www.mdpi.com/2504-3110/7/5/393/pdf?version=1683629447,download_failed
39,10.1109/cieec58067.2023.10166518,Study on Effect of Permanent Magnet Remanence on High Speed Permanent Magnet Assisted Synchronous Reluctance Machines,2023,2023 IEEE 6th International Electrical and Energy Conference (CIEEC),IEEE,https://doi.org/10.1109/cieec58067.2023.10166518,https://doi.org/10.1109/cieec58067.2023.10166518,proceedings-article,0.65,"[""permanent magnet"", ""remanence""]","Matched permanent magnet terms: permanent magnet, remanence",https://doi.org/10.1109/cieec58067.2023.10166518,0,http://xplorestaging.ieee.org/ielx7/10165685/10164836/10166518.pdf?arnumber=10166518,closed_access_has_doi
19,10.36652/0042-4633-2022-10-19-24,Determination of the torque transmitted by a magnetic coupling with high-coercivity permanent magnets made from an alloy of rare earth elements with a magnet width less than its thickness,2022,Vestnik Mashinostroeniya,Innovative Mashinostroenie Publishing,https://doi.org/10.36652/0042-4633-2022-10-19-24,https://doi.org/10.36652/0042-4633-2022-10-19-24,journal-article,0.65,"[""permanent magnet"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, coercivity",https://doi.org/10.36652/0042-4633-2022-10-19-24,,,closed_access_has_doi
30,10.1063/9.0000356,Effects of tensile loading during annealing of alnico melt spun ribbons,2022,AIP Advances,AIP Publishing LLC,http://dx.doi.org/10.1063/9.0000356,http://dx.doi.org/10.1063/9.0000356,journal-article,1.0,"[""permanent magnet"", ""alnico"", ""coercivity"", ""remanence""]","Matched permanent magnet terms: permanent magnet, alnico, coercivity, remanence",https://doi.org/10.1063/9.0000356,1,,oa_no_pdf_url
4,10.1109/jas.2022.105851,Finite-Control-Set Model Predictive Control of Permanent Magnet Synchronous Motor Drive Systems—An Overview,2022,IEEE/CAA Journal of Automatica Sinica,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/jas.2022.105851,https://openalex.org/W4294811285,article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1109/jas.2022.105851,0,,closed_access_has_doi
5,10.1007/s11837-022-05156-9,Manufacturing Processes for Permanent Magnets: Part I—Sintering and Casting,2022,JOM,Springer Science+Business Media,https://doi.org/10.1007/s11837-022-05156-9,https://openalex.org/W4210730274,article,0.65,"[""permanent magnet"", ""alnico""]","Matched permanent magnet terms: permanent magnet, alnico",https://doi.org/10.1007/s11837-022-05156-9,1,https://link.springer.com/content/pdf/10.1007/s11837-022-05156-9.pdf,downloaded_oa_pdf
49,10.20508/ijrer.v12i2.12872.g8469,Maximum Power Point Tracking for Permanent Magnet Synchronous Generator based Wind Park Application,2022,International Journal of Renewable Energy Research,International Journal of Renewable Energy Research,https://doi.org/10.20508/ijrer.v12i2.12872.g8469,https://doi.org/10.20508/ijrer.v12i2.12872.g8469,journal-article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.20508/ijrer.v12i2.12872.g8469,,,closed_access_has_doi
14,10.1016/j.actamat.2022.118062,"Microstructure, coercivity and thermal stability of nanostructured (Nd,Ce)-(Fe,Co)-B hot-compacted permanent magnets",2022,Acta Materialia,Elsevier BV,https://doi.org/10.1016/j.actamat.2022.118062,https://openalex.org/W4281661688,article,0.65,"[""permanent magnet"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, coercivity",https://doi.org/10.1016/j.actamat.2022.118062,0,,closed_access_has_doi
13,10.1088/1361-6463/abf864,Ce–Dy substituted barium hexaferrite nanoparticles with large coercivity for permanent magnet and microwave absorber application,2021,Journal of Physics D Applied Physics,Institute of Physics,https://doi.org/10.1088/1361-6463/abf864,https://openalex.org/W3156216069,article,0.8500000000000001,"[""permanent magnet"", ""hexaferrite"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, hexaferrite, coercivity",https://doi.org/10.1088/1361-6463/abf864,0,,closed_access_has_doi
15,10.1080/14686996.2021.1874836,Experimental approaches for micromagnetic coercivity analysis of advanced permanent magnet materials,2021,Science and Technology of Advanced Materials,Taylor & Francis,https://doi.org/10.1080/14686996.2021.1874836,https://openalex.org/W3131002947,article,0.65,"[""permanent magnet"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, coercivity",https://doi.org/10.1080/14686996.2021.1874836,1,https://www.tandfonline.com/doi/pdf/10.1080/14686996.2021.1874836?needAccess=true,download_failed
48,10.1016/j.pmatsci.2021.100872,Manganese-based permanent magnet materials,2021,Progress in Materials Science,Elsevier BV,https://doi.org/10.1016/j.pmatsci.2021.100872,https://openalex.org/W3203700131,article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1016/j.pmatsci.2021.100872,0,,closed_access_has_doi
47,10.1016/j.scriptamat.2021.113921,Microstructure and magnetic properties of Nd-Fe-B permanent magnets produced by laser powder bed fusion,2021,Scripta Materialia,Elsevier BV,https://doi.org/10.1016/j.scriptamat.2021.113921,https://openalex.org/W3159802637,article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1016/j.scriptamat.2021.113921,0,,closed_access_has_doi
11,10.1080/14686996.2021.1916377,Most frequently asked questions about the coercivity of Nd-Fe-B permanent magnets,2021,Science and Technology of Advanced Materials,Taylor & Francis,https://doi.org/10.1080/14686996.2021.1916377,https://openalex.org/W3166687789,article,0.65,"[""permanent magnet"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, coercivity",https://doi.org/10.1080/14686996.2021.1916377,1,https://www.tandfonline.com/doi/pdf/10.1080/14686996.2021.1916377?needAccess=true,download_failed
3,10.1109/access.2021.3072959,Online Parameter Estimation for Permanent Magnet Synchronous Machines: An Overview,2021,IEEE Access,Institute of Electrical and Electronics Engineers,https://doi.org/10.1109/access.2021.3072959,https://openalex.org/W3155051187,article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1109/access.2021.3072959,1,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09402773.pdf,download_failed
51,10.1109/cieec50170.2021.9511058,Research on Maximum Power Tracking Control Method of Permanent Magnet Synchronous Wind Power Generation in Microgrid,2021,2021 IEEE 4th International Electrical and Energy Conference (CIEEC),IEEE,https://doi.org/10.1109/cieec50170.2021.9511058,https://doi.org/10.1109/cieec50170.2021.9511058,proceedings-article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1109/cieec50170.2021.9511058,,http://xplorestaging.ieee.org/ielx7/9510195/9510196/09511058.pdf?arnumber=9511058,closed_access_has_doi
1,10.1016/j.matdes.2021.110004,Significant progress of grain boundary diffusion process for cost-effective rare earth permanent magnets: A review,2021,Materials & Design,Elsevier BV,https://doi.org/10.1016/j.matdes.2021.110004,https://openalex.org/W3191049541,review,1.0,"[""permanent magnet"", ""coercivity"", ""remanence"", ""grain boundary diffusion""]","Matched permanent magnet terms: permanent magnet, coercivity, remanence, grain boundary diffusion",https://doi.org/10.1016/j.matdes.2021.110004,1,,oa_no_pdf_url
12,10.1016/j.actamat.2020.02.058,Additive manufacturing of heavy rare earth free high-coercivity permanent magnets,2020,Acta Materialia,Elsevier BV,https://doi.org/10.1016/j.actamat.2020.02.058,https://openalex.org/W3007421091,article,0.8500000000000001,"[""permanent magnet"", ""ndfeb"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, ndfeb, coercivity",https://doi.org/10.1016/j.actamat.2020.02.058,1,https://www.sciencedirect.com/science/article/pii/S1359645420301713?via%3Dihub,download_failed
32,10.1016/j.eng.2019.11.006,Computational design of rare-earth reduced permanent magnets,2020,'Elsevier BV','Elsevier BV',https://core.ac.uk/download/323112802.pdf,http://dspace.vsb.cz/bitstream/10084/139492/1/2095-8099-2020v6i2p148.pdf,research,0.65,"[""permanent magnet"", ""coercivity""]","Matched permanent magnet terms: permanent magnet, coercivity",https://doi.org/10.1016/j.eng.2019.11.006,1,https://core.ac.uk/download/323112802.pdf,downloaded_oa_pdf
46,10.1007/s40964-020-00117-7,Laser powder bed fusion of Nd–Fe–B permanent magnets,2020,Progress in Additive Manufacturing,Springer Science+Business Media,https://doi.org/10.1007/s40964-020-00117-7,https://openalex.org/W3006730862,article,0.8500000000000001,"[""permanent magnet"", ""coercivity"", ""energy product""]","Matched permanent magnet terms: permanent magnet, coercivity, energy product",https://doi.org/10.1007/s40964-020-00117-7,1,https://link.springer.com/content/pdf/10.1007/s40964-020-00117-7.pdf,downloaded_oa_pdf
20,10.1051/matecconf/201713102007,Free piston linear generator for low grid power generation,2017,MATEC Web of Conferences,EDP Sciences,https://doi.org/10.1051/matecconf/201713102007,https://doi.org/10.1051/matecconf/201713102007,journal-article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1051/matecconf/201713102007,1,https://doi.org/10.1051/matecconf/201713102007,download_failed
21,10.3390/en10122002,Phase-Inductance-Based Position Estimation Method for Interior Permanent Magnet Synchronous Motors,2017,Energies,MDPI AG,https://www.mdpi.com/1996-1073/10/12/2002,https://www.mdpi.com/1996-1073/10/12/2002,journal-article,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.3390/en10122002,1,https://www.mdpi.com/1996-1073/10/12/2002,download_failed
42,10.13272/j.issn.1671-251x.2017.08.012,Research on temperature field of permanent magnet in disc-type speed-regulation magnetic coupler,2017,Gong-kuang zidonghua,Editorial Department of Industry and Mine Automation,http://www.gkzdh.cn/article/doi/10.13272/j.issn.1671-251x.2017.08.012,http://www.gkzdh.cn/article/doi/10.13272/j.issn.1671-251x.2017.08.012,journal-article,0.8500000000000001,"[""permanent magnet"", ""remanence"", ""energy product""]","Matched permanent magnet terms: permanent magnet, remanence, energy product",https://doi.org/10.13272/j.issn.1671-251x.2017.08.012,1,,oa_no_pdf_url
44,10.1016/j.jmmm.2017.04.028,Topology optimized permanent magnet systems,2017,'Elsevier BV','Elsevier BV',https://core.ac.uk/download/84005059.pdf,http://arxiv.org/abs/1609.08113,research,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1016/j.jmmm.2017.04.028,1,https://core.ac.uk/download/84005059.pdf,downloaded_oa_pdf
43,10.1016/j.jmmm.2016.05.034,The magnetic properties of the hollow cylindrical ideal remanence magnet,2016,'Elsevier BV','Elsevier BV',https://core.ac.uk/download/43258029.pdf,http://arxiv.org/abs/1609.08548,research,0.65,"[""permanent magnet"", ""remanence""]","Matched permanent magnet terms: permanent magnet, remanence",https://doi.org/10.1016/j.jmmm.2016.05.034,1,https://core.ac.uk/download/43258029.pdf,downloaded_oa_pdf
52,,Product Ranks of the $3\times 3$ Determinant and Permanent,2015,arXiv,arXiv,http://arxiv.org/abs/1503.00822v2,http://arxiv.org/abs/1503.00822v2,preprint,0.2,[],No configured permanent magnet term was found; needs manual review.,,1,https://arxiv.org/pdf/1503.00822v2,preprint_pdf
54,,Large Synoptic Survey Telescope: Dark Energy Science Collaboration,2012,arXiv,arXiv,http://arxiv.org/abs/1211.0310v1,http://arxiv.org/abs/1211.0310v1,preprint,0.2,[],No configured permanent magnet term was found; needs manual review.,,1,https://arxiv.org/pdf/1211.0310v1,preprint_pdf
25,10.1109/tie.2011.2151825,Performance comparison between Surface Mounted and Interior PM motor drives for Electric Vehicle application,2012,IEEE,IEEE,https://core.ac.uk/download/pdf/11420571.pdf,https://iris.polito.it/retrieve/handle/11583/2418740/54359/ALL_10-2209-TIE.pdf,research,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1109/tie.2011.2151825,1,https://core.ac.uk/download/pdf/11420571.pdf,download_failed
31,,Wet chemical synthesis and magnetic properties of single crystal Co nanochains with surface amorphous passivation Co layers,2011,Nanoscale Research Letters,SpringerOpen,http://www.nanoscalereslett.com/content/6/1/285,http://www.nanoscalereslett.com/content/6/1/285,journal-article,0.45,"[""coercivity""]",Matched permanent magnet terms: coercivity,,1,,oa_no_pdf_url
23,10.1109/tec.2004.837307,"Asynchronous performance analysis of a single-phase capacitor-start, capacitor-run permanent magnet motor",2005,'Institute of Electrical and Electronics Engineers (IEEE)','Institute of Electrical and Electronics Engineers (IEEE)',https://core.ac.uk/download/1393468.pdf,http://eprints.gla.ac.uk/2835/1/asynchronousmiller.pdf,research,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,https://doi.org/10.1109/tec.2004.837307,1,https://core.ac.uk/download/1393468.pdf,downloaded_oa_pdf
53,,The Dark Energy Survey,2005,arXiv,arXiv,http://arxiv.org/abs/astro-ph/0510346v1,http://arxiv.org/abs/astro-ph/0510346v1,preprint,0.2,[],No configured permanent magnet term was found; needs manual review.,,1,https://arxiv.org/pdf/astro-ph/0510346v1,preprint_pdf
57,,Magnetic suspension options for spacecraft inertia-wheel applications,1984,,,https://core.ac.uk/download/pdf/10379390.pdf,http://hdl.handle.net/2060/19850005562,research,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,,1,https://core.ac.uk/download/pdf/10379390.pdf,download_failed
24,,Low temperature latching solenoid,1981,,,https://core.ac.uk/download/pdf/10356935.pdf,http://hdl.handle.net/2060/19820003484,research,0.45,"[""permanent magnet""]",Matched permanent magnet terms: permanent magnet,,1,https://core.ac.uk/download/pdf/10356935.pdf,download_failed
45,,On the primordial condensation and accretion environment and the remanent magnetization of meteorites,,,,https://core.ac.uk/download/pdf/10309621.pdf,http://hdl.handle.net/2060/19740011356,research,0.65,"[""permanent magnet"", ""remanence""]","Matched permanent magnet terms: permanent magnet, remanence",,1,https://core.ac.uk/download/pdf/10309621.pdf,download_failed
