id,title,year,venue,doi,doi_url,publisher_url,source_url,pdf_url,access_status,download_error
5,Manufacturing Processes for Permanent Magnets: Part I—Sintering and Casting,2022,JOM,10.1007/s11837-022-05156-9,https://doi.org/10.1007/s11837-022-05156-9,https://doi.org/10.1007/s11837-022-05156-9,https://openalex.org/W4210730274,https://link.springer.com/content/pdf/10.1007/s11837-022-05156-9.pdf,downloaded_oa_pdf,
1,Significant progress of grain boundary diffusion process for cost-effective rare earth permanent magnets: A review,2021,Materials & Design,10.1016/j.matdes.2021.110004,https://doi.org/10.1016/j.matdes.2021.110004,https://doi.org/10.1016/j.matdes.2021.110004,https://openalex.org/W3191049541,,oa_no_pdf_url,
32,Computational design of rare-earth reduced permanent magnets,2020,'Elsevier BV',10.1016/j.eng.2019.11.006,https://doi.org/10.1016/j.eng.2019.11.006,https://core.ac.uk/download/323112802.pdf,http://dspace.vsb.cz/bitstream/10084/139492/1/2095-8099-2020v6i2p148.pdf,https://core.ac.uk/download/323112802.pdf,downloaded_oa_pdf,
46,Laser powder bed fusion of Nd–Fe–B permanent magnets,2020,Progress in Additive Manufacturing,10.1007/s40964-020-00117-7,https://doi.org/10.1007/s40964-020-00117-7,https://doi.org/10.1007/s40964-020-00117-7,https://openalex.org/W3006730862,https://link.springer.com/content/pdf/10.1007/s40964-020-00117-7.pdf,downloaded_oa_pdf,
42,Research on temperature field of permanent magnet in disc-type speed-regulation magnetic coupler,2017,Gong-kuang zidonghua,10.13272/j.issn.1671-251x.2017.08.012,https://doi.org/10.13272/j.issn.1671-251x.2017.08.012,http://www.gkzdh.cn/article/doi/10.13272/j.issn.1671-251x.2017.08.012,http://www.gkzdh.cn/article/doi/10.13272/j.issn.1671-251x.2017.08.012,,oa_no_pdf_url,
44,Topology optimized permanent magnet systems,2017,'Elsevier BV',10.1016/j.jmmm.2017.04.028,https://doi.org/10.1016/j.jmmm.2017.04.028,https://core.ac.uk/download/84005059.pdf,http://arxiv.org/abs/1609.08113,https://core.ac.uk/download/84005059.pdf,downloaded_oa_pdf,
43,The magnetic properties of the hollow cylindrical ideal remanence magnet,2016,'Elsevier BV',10.1016/j.jmmm.2016.05.034,https://doi.org/10.1016/j.jmmm.2016.05.034,https://core.ac.uk/download/43258029.pdf,http://arxiv.org/abs/1609.08548,https://core.ac.uk/download/43258029.pdf,downloaded_oa_pdf,
52,Product Ranks of the $3\times 3$ Determinant and Permanent,2015,arXiv,,,http://arxiv.org/abs/1503.00822v2,http://arxiv.org/abs/1503.00822v2,https://arxiv.org/pdf/1503.00822v2,preprint_pdf,
54,Large Synoptic Survey Telescope: Dark Energy Science Collaboration,2012,arXiv,,,http://arxiv.org/abs/1211.0310v1,http://arxiv.org/abs/1211.0310v1,https://arxiv.org/pdf/1211.0310v1,preprint_pdf,
31,Wet chemical synthesis and magnetic properties of single crystal Co nanochains with surface amorphous passivation Co layers,2011,Nanoscale Research Letters,,,http://www.nanoscalereslett.com/content/6/1/285,http://www.nanoscalereslett.com/content/6/1/285,,oa_no_pdf_url,
23,"Asynchronous performance analysis of a single-phase capacitor-start, capacitor-run permanent magnet motor",2005,'Institute of Electrical and Electronics Engineers (IEEE)',10.1109/tec.2004.837307,https://doi.org/10.1109/tec.2004.837307,https://core.ac.uk/download/1393468.pdf,http://eprints.gla.ac.uk/2835/1/asynchronousmiller.pdf,https://core.ac.uk/download/1393468.pdf,downloaded_oa_pdf,
53,The Dark Energy Survey,2005,arXiv,,,http://arxiv.org/abs/astro-ph/0510346v1,http://arxiv.org/abs/astro-ph/0510346v1,https://arxiv.org/pdf/astro-ph/0510346v1,preprint_pdf,
